i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,ids
17,10,4.000000000000002,0,True,38.555173362424966,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
18,10,4.000000000000002,0,True,41.27234673482667,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
19,10,4.000000000000002,0,True,41.58737263103665,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
20,10,4.000000000000002,0,True,39.293176923128655,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
21,10,4.000000000000002,0,True,41.63694305378145,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
22,10,4.000000000000002,0,True,41.78547390507969,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
23,10,4.000000000000002,0,True,50.38565530423829,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
24,10,3.900000000000002,0,True,49.36442878472437,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
25,10,4.000000000000002,0,True,36.731149325781814,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
26,10,4.000000000000002,0,True,39.32785620362337,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
27,10,4.000000000000002,0,True,39.0098417829806,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
28,10,4.000000000000002,0,True,47.743444173223494,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
29,10,4.000000000000002,0,True,38.98394137261304,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
