i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,ids,radius,centralized,t_solve
26,3,2.9000000000000012,0,True,25.7356243544425,10,0.1,"[100, 101, 102]",0.4,False,7.3500397999887355,
27,3,2.9000000000000012,0,True,41.42509099859601,10,0.1,"[100, 101, 102]",0.4,False,9.412736199970823,
28,3,3.0000000000000013,0,True,17.860749045879288,10,0.1,"[100, 101, 102]",0.4,False,7.764026899996679,
29,3,2.2000000000000006,0,True,50.58018804273788,10,0.1,"[100, 101, 102]",0.4,False,6.798341299989261,
0,4,3.2000000000000015,0,True,37.05968838718578,10,0.1,"[100, 101, 102, 103]",0.4,False,13.640953800000716,
1,4,3.3000000000000016,0,True,28.750451203206964,10,0.1,"[100, 101, 102, 103]",0.4,False,17.620178299956024,
2,4,4.300000000000001,0,True,205.29880963900956,10,0.1,"[100, 101, 102, 103]",0.4,False,85.57334050000645,
3,4,9.99999999999998,93,False,0,10,0.1,"[100, 101, 102, 103]",0.4,False,None,
4,4,2.9000000000000012,0,True,112.32515846775696,10,0.1,"[100, 101, 102, 103]",0.4,False,30.024482400040142,
5,4,9.99999999999998,0,False,83.00241777031022,10,0.1,"[100, 101, 102, 103]",0.4,False,None,
6,4,3.0000000000000013,0,True,52.07733668412884,10,0.1,"[100, 101, 102, 103]",0.4,False,17.481786000018474,
7,4,2.800000000000001,0,True,106.25555839816542,10,0.1,"[100, 101, 102, 103]",0.4,False,24.230275899986736,
8,4,2.9000000000000012,0,True,48.95200419535235,10,0.1,"[100, 101, 102, 103]",0.4,False,12.402262800023891,
9,4,9.99999999999998,95,False,0,10,0.1,"[100, 101, 102, 103]",0.4,False,None,
10,4,3.1000000000000014,0,True,22.32848273596752,10,0.1,"[100, 101, 102, 103]",0.4,False,18.028865700005554,
11,4,9.99999999999998,100,False,4.758038842301227e-05,10,0.1,"[100, 101, 102, 103]",0.4,False,None,
12,4,2.9000000000000012,0,True,64.830911166323,10,0.1,"[100, 101, 102, 103]",0.4,False,20.4334692999837,
13,4,2.9000000000000012,0,True,55.2652338177505,10,0.1,"[100, 101, 102, 103]",0.4,False,19.262148799956776,
14,4,3.2000000000000015,0,True,66.70935952676777,10,0.1,"[100, 101, 102, 103]",0.4,False,20.40103629999794,
15,4,3.2000000000000015,0,True,55.24525209768106,10,0.1,"[100, 101, 102, 103]",0.4,False,17.998105500009842,
