i_trial, n_agents, t, converged, obj_trj,T,dt,radius,         SOVA_admm ,t_solve_avg, t_solve_std, MAX_ITER, dist_to_goal
16,3,1.2,True,756.069155317171,8,0.1,0.2,ilqr,"[100, 101, 102]","0.020387515416789233","0.00907439673570451","[[100], [101], [102]]","[0.07502979719119908, 0.0621788548811687, 0.09184288366124498]"
16,3,1.3,True,606.5185352753485,8,0.1,0.2,centralized_mpc,0.41156797223112124, 0.06893755084570115, 3,[0.056 0.047 0.084],
16,3,1.3,True,612.3820222270665,8,0.1,0.2,True,0.40658326130729755,0.003569432166977233,3,[0.059 0.052 0.09 ],
17,3,1.4000000000000001,True,753.5307134252573,8,0.1,0.2,ilqr,"[100, 101, 102]","0.01976219711919146","0.010228698575060006","[[100], [101], [102]]","[0.09289659140096669, 0.04949733186461906, 0.035049991400600174]"
17,3,1.5000000000000002,True,713.0547617285965,8,0.1,0.2,centralized_mpc,0.43899889306679446, 0.07647118132412771, 3,[0.079 0.037 0.019],
17,3,1.4000000000000001,True,727.5755931028558,8,0.1,0.2,True,0.459607475809164,0.0385415540505108,3,[0.093 0.053 0.016],
18,3,1.3,True,840.114188475659,8,0.1,0.2,ilqr,"[100, 101, 102]","0.017714910256192803","0.008926162803880302","[[100], [101], [102]]","[0.0979398684616241, 0.09780352176619642, 0.02445737304549007]"
18,3,1.4000000000000001,True,796.4492094249517,8,0.1,0.2,centralized_mpc,0.4268899060007243, 0.0791430874274014, 3,[0.086 0.093 0.017],
18,3,1.4000000000000001,True,803.1322739696989,8,0.1,0.2,True,0.45559337888049145,0.03871936982098666,3,[0.093 0.088 0.013],
19,3,1.3,True,712.6581779075303,8,0.1,0.2,ilqr,"[100, 101, 102]","0.012208370102412002","0.010281336176970825","[[100], [101], [102]]","[0.09539748765315625, 0.04627040539182815, 0.0635246658226667]"
19,3,1.4000000000000001,True,731.9496490837322,8,0.1,0.2,centralized_mpc,0.42479706885673557, 0.06813393350461588, 3,[0.092 0.035 0.048],
19,3,1.4000000000000001,True,744.4913141258319,8,0.1,0.2,True,0.45382045423780043,0.036392849094280914,3,[0.097 0.032 0.051],
20,3,1.3,True,728.2205849216981,8,0.1,0.2,ilqr,"[100, 101, 102]","0.019348497128446933","0.009235071403118727","[[100], [101], [102]]","[0.07918141906671312, 0.05768423451012853, 0.06519741809774544]"
20,3,1.3,True,756.9911957935224,8,0.1,0.2,centralized_mpc,0.45771798823037757, 0.1122093910700809, 3,[0.089 0.081 0.072],
20,3,1.2,True,813.02351483539,8,0.1,0.2,True,0.6135316061110846,0.11312596417334209,3,[0.04  0.05  0.095],
21,3,1.3,True,892.8882922927387,8,0.1,0.2,ilqr,"[100, 101, 102]","0.013593325845879288","0.007129908484268775","[[100], [101], [102]]","[0.07495082166537682, 0.08729639843455722, 0.05115071486298991]"
21,3,1.4000000000000001,True,715.4204519918969,8,0.1,0.2,centralized_mpc,0.41155759692810534, 0.06766406859798957, 3,[0.063 0.078 0.038],
21,3,1.4000000000000001,True,721.0035303976937,8,0.1,0.2,True,0.4091694884760468,0.0022444356874734388,3,[0.07  0.084 0.039],
22,3,1.0999999999999999,True,575.8787742678013,8,0.1,0.2,ilqr,"[100, 101, 102]","0.015264990090971958","0.0037507170759390487","[[100], [101, 102], [101, 102]]","[0.04845501090972883, 0.08101919916344974, 0.09520728182884522]"
22,3,1.0999999999999999,True,566.7883840819194,8,0.1,0.2,centralized_mpc,0.40213005209112784, 0.05408522944649651, 3,[0.044 0.073 0.095],
22,3,1.0999999999999999,True,569.0482711988202,8,0.1,0.2,True,0.46083676696975034,0.04216797349707351,3,[0.043 0.076 0.092],
23,3,1.2,True,726.7980186024947,8,0.1,0.2,ilqr,"[100, 101, 102]","0.015699559861180507","0.010644868438651523","[[100], [101], [102]]","[0.05323697219680239, 0.08862349368065134, 0.02886079852901963]"
23,3,1.0999999999999999,True,486.83168362647905,8,0.1,0.2,centralized_mpc,0.3762170552740413, 0.03431105658907351, 3,[0.065 0.098 0.032],
23,3,1.2,True,476.6815064050772,8,0.1,0.2,True,0.4040066992774882,0.002512353209332134,3,[0.05  0.078 0.025],
24,3,1.4000000000000001,True,853.9744838431235,8,0.1,0.2,ilqr,"[100, 101, 102]","0.01872642407146313","0.008823872860129844","[[100], [101], [102]]","[0.040099516144122785, 0.06612885720756918, 0.09916747262376792]"
24,3,1.6000000000000003,True,899.5371697129253,8,0.1,0.2,centralized_mpc,0.3985838571879867, 0.05429656680877022, 3,[0.021 0.044 0.084],
24,3,1.6000000000000003,True,904.9145825309945,8,0.1,0.2,True,0.42953848881241663,0.01934919368486391,3,[0.022 0.049 0.091],
25,3,1.4000000000000001,True,690.0096261106947,8,0.1,0.2,ilqr,"[100, 101, 102]","0.012599632737744419","0.005915375475167751","[[100], [101], [102]]","[0.03430880848109082, 0.08288318890346645, 0.040796623089310396]"
25,3,1.4000000000000001,True,625.5253558403381,8,0.1,0.2,centralized_mpc,0.4115619815001992, 0.07034236036233364, 3,[0.03  0.082 0.036],
25,3,1.4000000000000001,True,630.0280411359099,8,0.1,0.2,True,0.4053619889765243,0.0031428156036487037,3,[0.033 0.088 0.041],
26,3,1.0999999999999999,True,522.2024550582709,8,0.1,0.2,ilqr,"[100, 101, 102]","0.01197813130299134","0.011838634007967816","[[100], [101], [102]]","[0.0924877084820818, 0.06875608647000327, 0.05201998380476398]"
26,3,1.2,True,500.2710424077331,8,0.1,0.2,centralized_mpc,0.3983869582504364, 0.05077139104179774, 3,[0.076 0.047 0.037],
26,3,1.2,True,503.2947136496822,8,0.1,0.2,True,0.4036159881111921,0.002157795396131182,3,[0.079 0.048 0.039],
27,3,1.2,True,688.0507429753225,8,0.1,0.2,ilqr,"[100, 101, 102]","0.011255434499819078","0.005025588249175905","[[100], [101], [102]]","[0.06514447139977719, 0.06110651478176528, 0.0823367554297028]"
27,3,1.2,True,708.9723266008693,8,0.1,0.2,centralized_mpc,0.4108123675002086, 0.05689555096012593, 3,[0.069 0.063 0.094],
27,3,1.2,True,715.2951812118988,8,0.1,0.2,True,0.404077633027858,0.0031788326627504673,3,[0.067 0.067 0.099],
28,3,1.2,True,509.01151210483727,8,0.1,0.2,ilqr,"[100, 101, 102]","0.010589743166444046","0.007466550425457125","[[100], [101], [102]]","[0.08430536008483265, 0.04981404893827644, 0.04347689815713873]"
28,3,1.2,True,531.6414194355691,8,0.1,0.2,centralized_mpc,0.3972220268336362, 0.04360391825499439, 3,[0.098 0.047 0.038],
28,3,1.3,True,525.0340186628076,8,0.1,0.2,True,0.40461998058946436,0.0022819076901031323,3,[0.077 0.037 0.028],
29,3,1.4000000000000001,True,783.8081203372097,8,0.1,0.2,ilqr,"[100, 101, 102]","0.013376256238188944","0.004948072300415777","[[100], [101], [102]]","[0.06441947093126506, 0.03358510675044071, 0.09786652580478761]"
29,3,1.6000000000000003,True,839.3436894360117,8,0.1,0.2,centralized_mpc,0.4284155825619109, 0.08414228986894229, 3,[0.04  0.017 0.076],
29,3,1.6000000000000003,True,844.8082442670607,8,0.1,0.2,True,0.4302717517083844,0.020018909551877115,3,[0.044 0.021 0.084],
30,3,1.2,True,613.9925836385735,8,0.1,0.2,ilqr,"[100, 101, 102]","0.013521188750019064","0.0060540489843822895","[[100], [101], [102]]","[0.08811635034759048, 0.048236653738183095, 0.04759032676047685]"
