i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,radius,centralized,t_solve,dist_to_goal,
6,5,3.1,0,TRUE,9804.921,10,0.1,0.25,FALSE,13.162387,[0.058 0.027 0.092 0.046 0.098],
7,5,3,0,TRUE,7858.506,10,0.1,0.25,TRUE,15.350298,[0.05  0.039 0.098 0.087 0.021],
7,5,3.1,0,TRUE,8108.788,10,0.1,0.25,FALSE,11.3169069,[0.045 0.042 0.095 0.085 0.019],
8,5,0,1,FALSE,None,10,0.1,0.25,TRUE,None,,
8,5,3.1,0,TRUE,11144.197,10,0.1,0.25,FALSE,13.5183622,[0.029 0.068 0.099 0.081 0.074],
9,5,2.8,0,TRUE,7384.671,10,0.1,0.25,TRUE,14.5354317,[0.097 0.053 0.067 0.081 0.088],
9,5,2.8,0,TRUE,7453.466,10,0.1,0.25,FALSE,11.0548521,[0.097 0.054 0.069 0.084 0.091],
10,5,0,1,FALSE,None,10,0.1,0.25,TRUE,None,,
10,5,2.8,0,TRUE,6296.844,10,0.1,0.25,FALSE,21.9320873,[0.058 0.032 0.072 0.093 0.096],
11,5,0,1,FALSE,None,10,0.1,0.25,TRUE,None,,
11,5,3.2,0,TRUE,10862.154,10,0.1,0.25,FALSE,12.4780154,[0.046 0.031 0.096 0.067 0.07 ],
12,5,0,1,FALSE,None,10,0.1,0.25,TRUE,None,,
12,5,5,50,FALSE,None,10,0.1,0.25,FALSE,None,[0.012 0.005 1.798 1.648 1.429],
13,5,2.4,1,FALSE,None,10,0.1,0.25,TRUE,None,,
13,5,2.9,0,TRUE,7645.107,10,0.1,0.25,FALSE,15.4243901,[0.072 0.064 0.091 0.058 0.079],
14,5,2.7,0,TRUE,4362.884,10,0.1,0.25,TRUE,13.899991,[0.077 0.033 0.021 0.077 0.092],
14,5,2.7,0,TRUE,4420.339,10,0.1,0.25,FALSE,14.3837792,[0.077 0.033 0.021 0.08  0.097],
15,5,0,1,FALSE,None,10,0.1,0.25,TRUE,None,,
15,5,3,0,TRUE,6364.094,10,0.1,0.25,FALSE,10.3732146,[0.096 0.065 0.037 0.041 0.047],
16,5,2.9,0,TRUE,5311.941,10,0.1,0.25,TRUE,16.3736056,[0.05  0.062 0.02  0.093 0.049],
16,5,3,0,TRUE,5426.611,10,0.1,0.25,FALSE,10.7819284,[0.046 0.058 0.018 0.091 0.046],
17,5,0,1,FALSE,None,10,0.1,0.25,TRUE,None,,
17,5,3.2,0,TRUE,9585.692,10,0.1,0.25,FALSE,10.0013024,[0.025 0.052 0.064 0.049 0.097],
18,5,0,1,FALSE,None,10,0.1,0.25,TRUE,None,,
18,5,3.1,0,TRUE,9888.125,10,0.1,0.25,FALSE,15.5835632,[0.067 0.097 0.043 0.045 0.077],
19,5,2.8,0,TRUE,6134.364,10,0.1,0.25,TRUE,13.998439,[0.02  0.017 0.088 0.087 0.093],
19,5,2.9,0,TRUE,6267.34,10,0.1,0.25,FALSE,13.205466,[0.018 0.015 0.079 0.093 0.087],
20,5,3.2,0,TRUE,12506.295,10,0.1,0.25,TRUE,25.3325107,[0.082 0.04  0.033 0.066 0.093],
