i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,ids,radius,centralized,t_solve,dist_to_goal
7,4,3.1000000000000014,0,True,[11306.879],10,0.1,"[100, 101, 102, 103]",0.4,False,12.012831399973948,[0.085 0.089 0.055 0.099],
8,4,2.9000000000000012,0,True,[7276.604],10,0.1,"[100, 101, 102, 103]",0.4,False,11.946448399976362,[0.094 0.052 0.093 0.072],
9,4,3.0000000000000013,0,True,[9113.433],10,0.1,"[100, 101, 102, 103]",0.4,False,15.908792400034145,[0.067 0.081 0.084 0.091],
10,4,2.9000000000000012,0,True,[5206.864],10,0.1,"[100, 101, 102, 103]",0.4,False,16.517913799965754,[0.079 0.051 0.033 0.094],
11,4,2.9000000000000012,0,True,[5318.291],10,0.1,"[100, 101, 102, 103]",0.4,False,21.284180899965577,[0.029 0.056 0.07  0.097],
12,4,2.800000000000001,0,True,[5201.034],10,0.1,"[100, 101, 102, 103]",0.4,False,11.648453600006178,[0.082 0.045 0.06  0.099],
13,4,2.9000000000000012,0,True,[5402.391],10,0.1,"[100, 101, 102, 103]",0.4,False,17.61444079998182,[0.052 0.066 0.048 0.099],
14,4,3.2000000000000015,0,True,[6172.948],10,0.1,"[100, 101, 102, 103]",0.4,False,19.659475299995393,[0.094 0.033 0.062 0.015],
15,4,3.0000000000000013,0,True,[6264.704],10,0.1,"[100, 101, 102, 103]",0.4,False,30.740999200032093,[0.042 0.094 0.066 0.061],
16,4,3.2000000000000015,0,True,[10092.586],10,0.1,"[100, 101, 102, 103]",0.4,False,22.748718400020152,[0.05  0.035 0.087 0.099],
17,4,3.2000000000000015,0,True,[7916.117],10,0.1,"[100, 101, 102, 103]",0.4,False,17.41406779998215,[0.013 0.067 0.095 0.047],
18,4,2.600000000000001,0,True,[3550.798],10,0.1,"[100, 101, 102, 103]",0.4,False,30.02526389999548,[0.048 0.049 0.096 0.097],
20,4,2.9000000000000012,0,True,[5905.792],10,0.1,"[100, 101, 102, 103]",0.4,False,12.51494060002733,[0.083 0.025 0.07  0.093],
22,4,2.9000000000000012,0,True,[5371.149],10,0.1,"[100, 101, 102, 103]",0.4,False,7.541069300030358,[0.077 0.056 0.034 0.092],
23,4,2.500000000000001,0,True,[2591.836],10,0.1,"[100, 101, 102, 103]",0.4,False,11.948381300026085,[0.042 0.084 0.095 0.055],
24,4,2.9000000000000012,0,True,[5094.395],10,0.1,"[100, 101, 102, 103]",0.4,False,21.713843600009568,[0.042 0.046 0.096 0.081],
25,4,2.9000000000000012,0,True,[7119.608],10,0.1,"[100, 101, 102, 103]",0.4,False,10.078266699973028,[0.047 0.083 0.091 0.089],
26,4,2.600000000000001,0,True,[4095.708],10,0.1,"[100, 101, 102, 103]",0.4,False,16.331729000026826,[0.087 0.078 0.096 0.052],
27,4,3.0000000000000013,0,True,[8094.773],10,0.1,"[100, 101, 102, 103]",0.4,False,13.535466200031806,[0.046 0.091 0.098 0.062],
28,4,4.000000000000002,0,True,[5505.907],10,0.1,"[100, 101, 102, 103]",0.4,False,73.86208029999398,[0.026 0.1   0.1   0.024],
29,4,2.9000000000000012,0,True,[5407.578],10,0.1,"[100, 101, 102, 103]",0.4,False,8.253226000000723,[0.099 0.091 0.035 0.021],
0,5,2.9000000000000012,0,True,[7769.861],10,0.1,"[100, 101, 102, 103, 104]",0.25,False,23.774303099955432,[0.086 0.046 0.097 0.054 0.075],
